equipment_id		47549     	1
mechanical		26068     	2
weekly		18101     	3
hydraulic		14695     	4
unservicable		10999     	5
fit		10644     	6
left-hand		10572     	7
oil-leak		9453      	8
daily		6505      	9
broken		6309      	10
front		5897      	11
low		5805      	12
new		5558      	13
rear		5505      	14
electrical		5158      	15
hydraulic-hose		4871      	16
right-hand		4862      	17
main		3613      	18
inspect		3547      	19
lube		3469      	20
monthly		3335      	21
hose		3277      	22
coolant		3242      	23
final-drive		3021      	24
loose		2976      	25
reseal		2968      	26
commercial		2949      	27
rotary		2850      	28
blown		2773      	29
light		2677      	30
left-hand-side		2493      	31
left-hand-front		2479      	32
right-front		2464      	33
right-hand-side		2406      	34
adjust		2371      	35
m		2348      	36
top		2311      	37
statutory		2281      	38
air-conditioner		2279      	39
right-hand-front		2271      	40
right-hand-rear		2253      	41
high		2177      	42
park-brake		2085      	43
pre		2000      	44
left-hand-rear		1981      	45
acc		1928      	46
pump-drive		1923      	47
flat		1799      	48
two-way		1778      	49
hot		1490      	50
ndt		1410      	51
ref		1313      	52
air-leak		1283      	53
dipper		1282      	54
stat		1278      	55
accident		1167      	56
spare		1161      	57
clean		1156      	58
aircon		1154      	59
diagnose		1149      	60
smart		1118      	61
rim		1108      	62
brake		1089      	63
exhaust		1085      	64
aerial		998       	65
svce		956       	66
slow		937       	67
rod		926       	68
drill		922       	69
mandatory		919       	70
install		906       	71
hoist		905       	72
cab		903       	73
blade		900       	74
worn		879       	75
open		875       	76
watt		868       	77
pull-down		861       	78
jump-start		860       	79
cannot		858       	80
investigate		852       	81
tyre		838       	82
emergency-stop		834       	83
upper		826       	84
bad		819       	85
leak		799       	86
air-filter		759       	87
am-fm		754       	88
grease-line		752       	89
bent		740       	90
repair		720       	91
m_n		718       	92
labour		705       	93
tilt		695       	94
uhf		686       	95
pipe		682       	96
work-light		652       	97
diff		638       	98
wk		635       	99
upgrade		632       	100
driver		623       	101
idle		620       	102
aux		620       	103
shovel		619       	104
air-compressor		615       	105
trouble-shoot		608       	106
dynamic		604       	107
gear		602       	108
windscreen		580       	109
hopper		579       	110
tighten		573       	111
pre-mechanical		572       	112
comm-radio		552       	113
complete		546       	114
right		535       	115
drive		525       	116
cab-side		514       	117
material		511       	118
o-ring		509       	119
electric		509       	120
vendor_name		489       	121
bottom		486       	122
thread-lube		478       	123
pm		466       	124
water-pump		463       	125
wheel-end		462       	126
cold		455       	127
tail-light		455       	128
propel		453       	129
turbo		452       	130
horn		445       	131
hard		419       	132
full		416       	133
thursday		416       	134
crowd		407       	135
cool		404       	136
wear		399       	137
shutdown		395       	138
weld		390       	139
fire-suppression		387       	140
tuesday		386       	141
sub		383       	142
ripper		380       	143
terex		376       	144
t_c		372       	145
air-conditioning		370       	146
differential		370       	147
vlc		369       	148
_		367       	149
seal		363       	150
air-cleaner		361       	151
retorque		361       	152
major		358       	153
wrench		356       	154
potable		356       	155
blue		351       	156
excessive		350       	157
rough		348       	158
short		344       	159
e		343       	160
head-slide		342       	161
